id,content,created_at,deleted_at,order_id,product_id,rating,updated_at,user_id
a0000000-0000-0000-0000-000000000001,아주 좋아요,2025-12-17 01:10:00,,bbbbbbbb-0000-0000-0000-000000000001,11111111-1111-1111-1111-111111111111,5,2025-12-17 01:10:00,aaaaaaaa-0000-0000-0000-000000000001
a0000000-0000-0000-0000-000000000002,만족합니다,2025-12-17 09:30:00,,bbbbbbbb-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111111,4,2025-12-17 09:30:00,aaaaaaaa-0000-0000-0000-000000000002
a0000000-0000-0000-0000-000000000003,보통이에요,2025-12-17 22:45:00,,bbbbbbbb-0000-0000-0000-000000000003,11111111-1111-1111-1111-111111111111,3,2025-12-17 22:45:00,aaaaaaaa-0000-0000-0000-000000000003
b0000000-0000-0000-0000-000000000001,배송 빨라요,2025-12-17 10:15:00,,bbbbbbbb-0000-0000-0000-000000000004,22222222-2222-2222-2222-222222222222,5,2025-12-17 10:15:00,aaaaaaaa-0000-0000-0000-000000000004
b0000000-0000-0000-0000-000000000002,기대보다 별로,2025-12-17 18:05:00,,bbbbbbbb-0000-0000-0000-000000000005,22222222-2222-2222-2222-222222222222,2,2025-12-17 18:05:00,aaaaaaaa-0000-0000-0000-000000000005
b0000000-0000-0000-0000-000000000003,무난함,2025-12-17 21:40:00,,bbbbbbbb-0000-0000-0000-000000000006,22222222-2222-2222-2222-222222222222,3,2025-12-17 21:40:00,aaaaaaaa-0000-0000-0000-000000000006
b0000000-0000-0000-0000-000000000004,가격 대비 좋아요,2025-12-17 23:10:00,,bbbbbbbb-0000-0000-0000-000000000007,22222222-2222-2222-2222-222222222222,4,2025-12-17 23:10:00,aaaaaaaa-0000-0000-0000-000000000007
c0000000-0000-0000-0000-000000000001,괜찮아요,2025-12-17 14:20:00,,bbbbbbbb-0000-0000-0000-000000000008,33333333-3333-3333-3333-333333333333,4,2025-12-17 14:20:00,aaaaaaaa-0000-0000-0000-000000000008
c0000000-0000-0000-0000-000000000002,별로에요,2025-12-17 15:00:00,2025-12-17 16:00:00,bbbbbbbb-0000-0000-0000-000000000009,33333333-3333-3333-3333-333333333333,1,2025-12-17 15:00:00,aaaaaaaa-0000-0000-0000-000000000009
a0000000-0000-0000-0000-000000000004,어제 리뷰,2025-12-16 23:50:00,,bbbbbbbb-0000-0000-0000-000000000010,11111111-1111-1111-1111-111111111111,5,2025-12-16 23:50:00,aaaaaaaa-0000-0000-0000-000000000010
d0000000-0000-0000-0000-000000000001,16일에 작성한 리뷰,2025-12-16 13:25:00,,bbbbbbbb-0000-0000-0000-000000000011,22222222-2222-2222-2222-222222222222,4,2025-12-16 13:25:00,aaaaaaaa-0000-0000-0000-000000000011
a0000000-0000-0000-0000-000000000011,아주 좋아요,2025-12-19 01:10:00,,bbbbbbbb-0000-0000-0000-000000000001,11111111-1111-1111-1111-111111111111,5,2025-12-19 01:10:00,aaaaaaaa-0000-0000-0000-000000000001
a0000000-0000-0000-0000-000000000012,만족합니다,2025-12-19 09:30:00,,bbbbbbbb-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111111,4,2025-12-19 09:30:00,aaaaaaaa-0000-0000-0000-000000000002
a0000000-0000-0000-0000-000000000013,보통이에요,2025-12-19 22:45:00,,bbbbbbbb-0000-0000-0000-000000000003,11111111-1111-1111-1111-111111111111,3,2025-12-19 22:45:00,aaaaaaaa-0000-0000-0000-000000000003
b0000000-0000-0000-0000-000000000014,배송 빨라요,2025-12-19 10:15:00,,bbbbbbbb-0000-0000-0000-000000000004,22222222-2222-2222-2222-222222222222,5,2025-12-19 10:15:00,aaaaaaaa-0000-0000-0000-000000000004
b0000000-0000-0000-0000-000000000015,기대보다 별로,2025-12-19 18:05:00,,bbbbbbbb-0000-0000-0000-000000000005,22222222-2222-2222-2222-222222222222,2,2025-12-19 18:05:00,aaaaaaaa-0000-0000-0000-000000000005
b0000000-0000-0000-0000-000000000016,무난함,2025-12-19 21:40:00,,bbbbbbbb-0000-0000-0000-000000000006,22222222-2222-2222-2222-222222222222,3,2025-12-19 21:40:00,aaaaaaaa-0000-0000-0000-000000000006
b0000000-0000-0000-0000-000000000017,가격 대비 좋아요,2025-12-19 23:10:00,,bbbbbbbb-0000-0000-0000-000000000007,22222222-2222-2222-2222-222222222222,4,2025-12-19 23:10:00,aaaaaaaa-0000-0000-0000-000000000007
c0000000-0000-0000-0000-000000000018,괜찮아요,2025-12-19 14:20:00,,bbbbbbbb-0000-0000-0000-000000000008,33333333-3333-3333-3333-333333333333,4,2025-12-19 14:20:00,aaaaaaaa-0000-0000-0000-000000000008
